error_code,model_id или Все,Расшифровка,Вероятная причина,Решается удалённо?,Требуемая компетенция,Типовая запчасть,Что делать,Источник / руководство
SYM-NO-SIGNAL,MOD-013,Нет изображения / No signal,"Выбран неверный вход, кабель/источник неактивен",Да,Диагностика ПО,HDMI/USB-C кабель,"Выбрать правильный Source, проверить другой кабель и вход, включить дублирование экрана и поддерживаемое разрешение.",https://www.foroffice.ru/products/description/209666.html
SYM-NO-TOUCH,MOD-013,"Изображение есть, касания не работают","Не подключён USB Touch, драйвер, источник или сенсор",Зависит,Интерактивные панели L2,USB-кабель / сенсорный модуль,"Для внешнего ПК подключить USB Touch к тому же источнику, сменить порт/кабель, перезапустить панель. Проверить касания в Android.",https://www.foroffice.ru/products/description/209666.html
SYM-TOUCH-OFFSET,MOD-013,Касание смещено или срабатывает неверно,"Нужна калибровка, масштабирование ОС или загрязнение рамки",Да,Диагностика ПО,ИК-рамка / сенсор,"Очистить рамку, установить масштаб 100% и штатное разрешение, выполнить калибровку. При локальной мёртвой зоне — сервис.",https://www.foroffice.ru/products/description/209666.html
SYM-NO-SOUND,MOD-013,Нет звука,"Mute, выбран другой выход, кабель или динамики",Да,Диагностика ПО,Динамики / аудиоплата,"Снять mute на панели и ПК, выбрать панель как HDMI/USB‑C output, проверить громкость и другой источник.",https://www.foroffice.ru/products/description/209666.html
SYM-OPS-BOOT,MOD-013,OPS-модуль не загружается/не определяется,"Питание OPS, неплотная установка, SSD/RAM или ОС",Зависит,Интерактивные панели L2,OPS-модуль / SSD / RAM,"Выключить и обесточить панель, переустановить OPS по инструкции; проверить выбранный источник. Затем диагностика SSD/RAM/ОС.",https://www.foroffice.ru/products/description/209666.html
SYM-WIFI,MOD-013,Нет сети/Wi‑Fi,"Антенны, настройки, время, DHCP или модуль",Да,Диагностика ПО,Wi‑Fi модуль / антенны,"Проверить антенны, SSID/пароль, DHCP, дату/время и другую сеть; обновить firmware. Если адаптер отсутствует — сервис.",https://www.foroffice.ru/products/description/209666.html
SYM-NO-POWER,MOD-014,Панель не включается,"Нет питания, выключен главный выключатель, БП или плата",Зависит,Интерактивные панели L2,Блок питания,"Проверить розетку, кабель, главный выключатель и индикатор; отключить на 1 минуту. Без индикации — сервис.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
SYM-NO-SIGNAL,MOD-014,Нет изображения / No signal,"Выбран неверный вход, кабель/источник неактивен",Да,Диагностика ПО,HDMI/USB-C кабель,"Выбрать правильный Source, проверить другой кабель и вход, включить дублирование экрана и поддерживаемое разрешение.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
SYM-NO-TOUCH,MOD-014,"Изображение есть, касания не работают","Не подключён USB Touch, драйвер, источник или сенсор",Зависит,Интерактивные панели L2,USB-кабель / сенсорный модуль,"Для внешнего ПК подключить USB Touch к тому же источнику, сменить порт/кабель, перезапустить панель. Проверить касания в Android.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
SYM-TOUCH-OFFSET,MOD-014,Касание смещено или срабатывает неверно,"Нужна калибровка, масштабирование ОС или загрязнение рамки",Да,Диагностика ПО,ИК-рамка / сенсор,"Очистить рамку, установить масштаб 100% и штатное разрешение, выполнить калибровку. При локальной мёртвой зоне — сервис.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
SYM-NO-SOUND,MOD-014,Нет звука,"Mute, выбран другой выход, кабель или динамики",Да,Диагностика ПО,Динамики / аудиоплата,"Снять mute на панели и ПК, выбрать панель как HDMI/USB‑C output, проверить громкость и другой источник.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
SYM-OPS-BOOT,MOD-014,OPS-модуль не загружается/не определяется,"Питание OPS, неплотная установка, SSD/RAM или ОС",Зависит,Интерактивные панели L2,OPS-модуль / SSD / RAM,"Выключить и обесточить панель, переустановить OPS по инструкции; проверить выбранный источник. Затем диагностика SSD/RAM/ОС.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
SYM-WIFI,MOD-014,Нет сети/Wi‑Fi,"Антенны, настройки, время, DHCP или модуль",Да,Диагностика ПО,Wi‑Fi модуль / антенны,"Проверить антенны, SSID/пароль, DHCP, дату/время и другую сеть; обновить firmware. Если адаптер отсутствует — сервис.",https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
SYM-NO-POWER,MOD-015,Сканер не включается,"Питание, аварийный выключатель, БП или плата",Зависит,Сканеры L2,Блок питания,Проверить питание и органы включения по РЭ поставки. Не вскрывать; при отсутствии индикации зарегистрировать обращение в ЭЛАР.,https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/
SYM-JAM,MOD-015,Замятие документа,"Перекос, скрепка/скоба, неподходящая бумага или тракт",Зависит,Сканеры L2,Ролики / датчики тракта,"Остановить подачу, открыть тракт только по РЭ, удалить документ по ходу движения, проверить повреждения и посторонние предметы.",https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/
SYM-MULTIFEED,MOD-015,Захват нескольких листов,"Слипшиеся листы, износ роликов/разделителя или неверный профиль",Зависит,Сканеры L2,Ролики / разделитель,"Распушить пачку, удалить скрепки, выровнять направляющие, очистить ролики; при повторе заменить расходники подачи.",https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/
SYM-IMAGE-LINES,MOD-015,Полосы/загрязнение изображения,"Пыль на оптике, загрязнение стекла или дефект сенсора",Зависит,Сканеры L2,Сканирующий модуль,"Очистить доступные стекла рекомендованным материалом, выполнить калибровку; при неизменной полосе — сервис.",https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/
SYM-CONNECTION,MOD-015,ПО не видит сканер,"Сеть/USB, служба, драйвер или IP-конфликт",Да,Диагностика ПО,Сетевой модуль / кабель,"Проверить физический линк/IP, доступность узла, службу и версию ПО СканИмидж; перезапустить в установленном порядке.",https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/
SYM-CALIBRATION,MOD-015,Ошибка калибровки/нестабильный цвет,"Загрязнён эталон, неверный лист или оптический блок",Зависит,Сканеры L2,Калибровочный лист / оптический блок,"Очистить оптический тракт, использовать штатный калибровочный материал и повторить процедуру; затем сервисная диагностика.",https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/
2013,MOD-016,Paper Jam (Pick Up),"Замятие на захвате, ролики или датчик",Зависит,Сканеры L2,ADF roller / sensor board,"Открыть крышку ADF, удалить бумагу, очистить ролики. При повторе проверить датчик и ролики подачи.",https://www.avision.com/en/FAQs/
2014,MOD-016,ADF Cover Open,Крышка ADF закрыта неплотно или датчик крышки,Да,Сканеры L2,Датчик крышки,Открыть и плотно закрыть верхний блок без зазора; убрать препятствия. При повторе проверить датчик.,https://www.avision.com/en/FAQs/
3101,MOD-016,Multi-Feed Error,Одновременно подано несколько листов,Зависит,Сканеры L2,Reverse roller / pad,"Удалить листы, распушить пачку, очистить ролики и проверить настройку multifeed; при повторах заменить ролик/разделитель.",https://www.avision.com/en/FAQs/
3205,MOD-016,Paper Jam (Paper Path),Бумага застряла в тракте,Зависит,Сканеры L2,Ролики / датчик тракта,"Открыть верхний блок, удалить бумагу, очистить ролики; проверить путь листа и состояние датчиков.",https://www.avision.com/en/FAQs/
2024,MOD-016,NVRAM R/W Test Error,Ошибка чтения/записи энергонезависимой памяти,Нет,Сканеры L2,Главная плата,Выключить и включить. Если код повторяется — зафиксировать серийный номер и обратиться в сервис Avision.,https://www.avision.com/en/FAQs/
3003,MOD-016,DRAM R/W Test Error,Ошибка оперативной памяти контроллера,Нет,Сканеры L2,Главная плата,Перезапустить сканер. При повторе — сервисная диагностика/замена главной платы.,https://www.avision.com/en/FAQs/
2037,MOD-016,ADF Front/Rear AFE R/W Test Error,"CIS, bridge board или main board",Нет,Сканеры L2,CIS / bridge board / main board,"Перезапустить. При повторе сервис последовательно проверяет CIS, bridge board и главную плату.",https://www.avision.com/en/FAQs/
3006,MOD-016,Lamp Error (Upper Optical Unit),Верхний CIS/оптический блок или плата,Нет,Сканеры L2,Верхний CIS / bridge board,Перезапустить; при повторе проверить соединения оптического блока и заменить дефектный модуль.,https://www.avision.com/en/FAQs/
SYM-CAMERA-NOT-FOUND,MOD-017,Камера не определяется,"USB/VCH-кабель, питание, порт, firmware или камера",Зависит,ВКС L2,Камера / кабель,"Проверить питание и кабели, подключить напрямую без хаба, открыть Yealink RoomConnect и проверить обнаружение/firmware.",https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180
SYM-NO-VIDEO,MOD-017,Нет изображения или чёрный кадр,"Закрыта шторка, камера занята, неверный источник или кабель",Да,Диагностика ПО,Камера / кабель,"Открыть privacy shutter, выбрать Yealink Camera в приложении, закрыть другие приложения и переподключить кабель.",https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180
SYM-NO-AUDIO,MOD-017,Не работает микрофон/динамик,"Mute, неверное устройство, кабель или CP50/аудиомодуль",Да,Диагностика ПО,CP50 / микрофон / кабель,"Снять mute, выбрать CP50/встроенное аудио как input/output, проверить уровни и прямое подключение.",https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180
SYM-ECHO-NOISE,MOD-017,"Эхо, шум или обрывы речи","Два активных аудиотракта, акустика комнаты или сеть",Да,Диагностика ПО,Спикерфон / микрофон,"Оставить один микрофон и один выход звука, уменьшить громкость, включить echo/noise cancellation, проверить сеть.",https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180
SYM-NETWORK,MOD-017,Нет сети/регистрации,"DHCP/DNS/VLAN, firewall, сертификат или учётные данные",Да,Диагностика ПО,Сетевой модуль,"Проверить IP, gateway, DNS, время, VLAN и доступ к платформе; сверить учётные данные и сертификаты.",https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180
SYM-UPGRADE,MOD-017,Ошибка обновления firmware,"Неверный пакет, потеря сети/питания или несовместимые версии компонентов",Зависит,ВКС L2,,"Не отключать питание; проверить совместимость пакета и текущих версий, повторить по официальной процедуре. При boot loop — сервис.",https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180
SYM-CAMERA-NOT-FOUND,MOD-018,Камера не определяется,"USB/VCH-кабель, питание, порт, firmware или камера",Зависит,ВКС L2,Камера / кабель,"Проверить питание и кабели, подключить напрямую без хаба, открыть Yealink RoomConnect и проверить обнаружение/firmware.",https://support.yealink.com/
SYM-NO-VIDEO,MOD-018,Нет изображения или чёрный кадр,"Закрыта шторка, камера занята, неверный источник или кабель",Да,Диагностика ПО,Камера / кабель,"Открыть privacy shutter, выбрать Yealink Camera в приложении, закрыть другие приложения и переподключить кабель.",https://support.yealink.com/
SYM-NO-AUDIO,MOD-018,Не работает микрофон/динамик,"Mute, неверное устройство, кабель или CP50/аудиомодуль",Да,Диагностика ПО,CP50 / микрофон / кабель,"Снять mute, выбрать CP50/встроенное аудио как input/output, проверить уровни и прямое подключение.",https://support.yealink.com/
SYM-ECHO-NOISE,MOD-018,"Эхо, шум или обрывы речи","Два активных аудиотракта, акустика комнаты или сеть",Да,Диагностика ПО,Спикерфон / микрофон,"Оставить один микрофон и один выход звука, уменьшить громкость, включить echo/noise cancellation, проверить сеть.",https://support.yealink.com/
SYM-NETWORK,MOD-018,Нет сети/регистрации,"DHCP/DNS/VLAN, firewall, сертификат или учётные данные",Да,Диагностика ПО,Сетевой модуль,"Проверить IP, gateway, DNS, время, VLAN и доступ к платформе; сверить учётные данные и сертификаты.",https://support.yealink.com/
SYM-UPGRADE,MOD-018,Ошибка обновления firmware,"Неверный пакет, потеря сети/питания или несовместимые версии компонентов",Зависит,ВКС L2,,"Не отключать питание; проверить совместимость пакета и текущих версий, повторить по официальной процедуре. При boot loop — сервис.",https://support.yealink.com/
Unable to connect to server,MOD-019,Клиент не подключается к TrueConf Server,"Порт блокирует firewall/антивирус, DNS/NAT или неверный адрес",Да,Диагностика ПО,,"Проверить адрес и порт сервера, DNS, доступность TCP-порта и правила firewall/proxy; при нестандартном порте указать address:port.",https://trueconf.com/support.html
Camera/microphone not working,MOD-019,Нет камеры или микрофона,"Устройство занято, нет разрешения, USB-хаб или неверный выбор",Да,Диагностика ПО,Камера / микрофон,"Переподключить напрямую, разрешить доступ в ОС, закрыть другие приложения и выбрать устройство в настройках TrueConf.",https://trueconf.com/support.html
Server does not launch,MOD-019,TrueConf Server не запускается,"Регистрация, лицензия, сеть или служба/БД",Зависит,Диагностика ПО,,"Проверить статус службы, Server Log, регистрацию и срок лицензии; для Free — доступ к серверу регистрации и TCP 4310.",https://trueconf.com/support.html
Invalid username or password,MOD-019,Нет доступа к панели управления,Неверные данные или пользователь не в группе администраторов,Да,Диагностика ПО,,Проверить учётные данные и членство ОС-пользователя в TrueConf Server Admin/tcadmins.,https://trueconf.com/support.html
NET::ERR_CERT_AUTHORITY_INVALID,MOD-019,Браузер не доверяет HTTPS-сертификату,"Сертификат истёк, не соответствует имени или не перенесён",Да,Диагностика ПО,,"Проверить FQDN, цепочку и срок сертификата, дату/время; установить корректный сертификат и перезапустить веб-службу.",https://trueconf.com/support.html
Presentation not displayed,MOD-019,Участникам не видна презентация,Нет HTTPS-связи/закрыт порт или неверный источник контента,Да,Диагностика ПО,,Проверить HTTPS между участниками и сервером (обычно TCP 443) и источник контента в настройках комнаты.,https://trueconf.com/support.html
SYM-LOGIN,MOD-020,Не удаётся войти в IVA Connect/WEB,"Неверный адрес сервера, пароль, учётная запись или SSO/LDAP",Да,Диагностика ПО,,"Проверить URL/FQDN, учётную запись и время; сверить LDAP/SSO и журнал аутентификации IVA MCU.",https://iva.ru/docs/index.html
SYM-CONNECTION,MOD-020,Нет подключения к IVA MCU,"DNS, маршрутизация, firewall/proxy или недоступность сервиса",Да,Диагностика ПО,,"Проверить разрешение имени, HTTPS-доступ, маршрутизацию и опубликованные порты; затем состояние сервисов на сервере.",https://iva.ru/docs/index.html
SYM-CAMERA-MIC,MOD-020,Камера или микрофон недоступны,"Нет разрешения браузера/ОС, устройство занято или выбрано неверно",Да,Диагностика ПО,Камера / микрофон,"Разрешить доступ в браузере/ОС, закрыть другие приложения, выбрать правильное устройство и повторно войти в конференцию.",https://iva.ru/docs/index.html
SYM-NO-MEDIA,MOD-020,"Подключение есть, но нет аудио/видео","Медиа-порты/ICE заблокированы, NAT или низкая полоса",Да,Диагностика ПО,,"Проверить сетевые требования версии IVA MCU, NAT/firewall, потери и доступную полосу; собрать клиентские и серверные логи.",https://iva.ru/docs/index.html
SYM-SERVER-SERVICE,MOD-020,Платформа/отдельный сервис недоступен,"Сервис остановлен, ресурсы исчерпаны, хранилище заполнено",Зависит,Диагностика ПО,Диск / серверный компонент,"Проверить мониторинг, место на диске, CPU/RAM и состояние сервисов; безопасно перезапустить только по руководству администратора.",https://iva.ru/docs/index.html
SYM-RECORDING,MOD-020,Не начинается или не сохраняется запись,"Нет места, прав или недоступно хранилище",Да,Диагностика ПО,Накопитель,"Проверить свободное место, квоты, права и доступность каталога/хранилища; затем журналы подсистемы записи.",https://iva.ru/docs/index.html
